,date,open
826,2016-05-20,54.88
827,2016-05-23,54.62
828,2016-05-24,54.74
829,2016-05-25,55.2
830,2016-05-26,55.55
831,2016-05-27,55.36
832,2016-05-31,55.5
833,2016-06-01,54.76
834,2016-06-02,54.9
835,2016-06-03,54.71
836,2016-06-06,54.72
837,2016-06-07,55.65
838,2016-06-08,55.5
839,2016-06-09,55.15
840,2016-06-10,54.92
841,2016-06-13,54.79
842,2016-06-14,55.05
843,2016-06-15,55.64
844,2016-06-16,54.9
845,2016-06-17,55.61
846,2016-06-20,55.77
847,2016-06-21,55.52
848,2016-06-22,55.88
849,2016-06-23,55.98
850,2016-06-24,54.05
851,2016-06-27,54.2
852,2016-06-28,54.1
853,2016-06-29,55.42
854,2016-06-30,56.81
855,2016-07-01,57.04
856,2016-07-05,56.81
857,2016-07-06,56.52
858,2016-07-07,56.66
859,2016-07-08,56.92
860,2016-07-11,56.8
861,2016-07-12,56.65
862,2016-07-13,56.8
863,2016-07-14,57.0
864,2016-07-15,57.69
865,2016-07-18,57.59
866,2016-07-19,56.85
867,2016-07-20,57.0
868,2016-07-21,57.62
869,2016-07-22,57.6
870,2016-07-25,57.72
871,2016-07-26,58.58
872,2016-07-27,58.38
873,2016-07-28,57.88
874,2016-07-29,58.18
875,2016-08-01,58.0
876,2016-08-02,57.25
877,2016-08-03,56.46
878,2016-08-04,56.05
879,2016-08-05,55.8
880,2016-08-08,55.97
881,2016-08-09,55.39
882,2016-08-10,55.37
883,2016-08-11,55.75
884,2016-08-12,55.27
885,2016-08-15,55.65
886,2016-08-16,55.25
887,2016-08-17,55.77
888,2016-08-18,55.78
889,2016-08-19,55.46
890,2016-08-22,54.98
891,2016-08-23,56.17
892,2016-08-24,57.0
893,2016-08-25,57.04
894,2016-08-26,57.48
895,2016-08-29,57.22
896,2016-08-30,56.66
897,2016-08-31,56.31
898,2016-09-01,56.3
899,2016-09-02,56.52
900,2016-09-06,56.18
901,2016-09-07,56.19
902,2016-09-08,56.1
903,2016-09-09,55.14
904,2016-09-12,53.92
905,2016-09-13,54.39
906,2016-09-14,54.26
907,2016-09-15,53.96
908,2016-09-16,53.94
909,2016-09-19,53.96
910,2016-09-20,53.4
911,2016-09-21,53.43
912,2016-09-22,54.2
913,2016-09-23,54.0
914,2016-09-26,54.28
915,2016-09-27,54.0
916,2016-09-28,53.88
917,2016-09-29,53.88
918,2016-09-30,53.65
919,2016-10-03,54.1
920,2016-10-04,54.13
921,2016-10-05,53.5
922,2016-10-06,53.3
923,2016-10-07,53.37
924,2016-10-10,53.53
925,2016-10-11,53.13
926,2016-10-12,53.01
927,2016-10-13,52.88
928,2016-10-14,53.12
929,2016-10-17,52.94
930,2016-10-18,53.24
931,2016-10-19,52.91
932,2016-10-20,53.36
933,2016-10-21,53.42
934,2016-10-24,53.9
935,2016-10-25,54.1
936,2016-10-26,53.6
937,2016-10-27,53.6
938,2016-10-28,53.65
939,2016-10-31,53.7
940,2016-11-01,53.14
941,2016-11-02,52.34
942,2016-11-03,52.99
943,2016-11-04,51.43
944,2016-11-07,53.5
945,2016-11-08,54.4
946,2016-11-09,53.2
947,2016-11-10,54.64
948,2016-11-11,53.43
949,2016-11-14,53.93
950,2016-11-15,54.09
951,2016-11-16,54.33
952,2016-11-17,55.215
953,2016-11-18,55.72
954,2016-11-21,55.51
955,2016-11-22,56.32
956,2016-11-23,56.91
957,2016-11-25,57.7
958,2016-11-28,57.0
959,2016-11-29,57.64
960,2016-11-30,58.19
961,2016-12-01,57.34
962,2016-12-02,56.649
963,2016-12-05,56.96
964,2016-12-06,57.66
965,2016-12-07,57.54
966,2016-12-08,59.0
967,2016-12-09,58.92
968,2016-12-12,58.54
969,2016-12-13,58.99
970,2016-12-14,59.03
971,2016-12-15,57.9675
972,2016-12-16,58.01
973,2016-12-19,57.44
974,2016-12-20,57.81
975,2016-12-21,57.5
976,2016-12-22,57.31
977,2016-12-23,57.29
978,2016-12-27,56.99
979,2016-12-28,56.8
980,2016-12-29,56.35
981,2016-12-30,56.28
982,2017-01-03,55.91
983,2017-01-04,55.56
984,2017-01-05,56.08
985,2017-01-06,56.63
986,2017-01-09,57.26
987,2017-01-10,58.22
988,2017-01-11,57.8
989,2017-01-12,58.0
990,2017-01-13,58.03
991,2017-01-17,57.62
992,2017-01-18,58.32
993,2017-01-19,58.31
994,2017-01-20,58.14
995,2017-01-23,57.42
996,2017-01-24,57.93
997,2017-01-25,58.67
998,2017-01-26,58.7
999,2017-01-27,55.75
1000,2017-01-30,56.0
1001,2017-01-31,55.8
1002,2017-02-01,55.49
1003,2017-02-02,54.04
1004,2017-02-03,54.21
1005,2017-02-06,55.01
1006,2017-02-07,55.79
1007,2017-02-08,55.19
1008,2017-02-09,55.23
1009,2017-02-10,55.73
1010,2017-02-13,56.5
1011,2017-02-14,56.02
1012,2017-02-15,56.56
1013,2017-02-16,56.96
1014,2017-02-17,56.8
1015,2017-02-21,57.41
1016,2017-02-22,57.52
1017,2017-02-23,57.6
1018,2017-02-24,57.61
1019,2017-02-27,57.24
1020,2017-02-28,56.71
1021,2017-03-01,57.27
1022,2017-03-02,57.07
1023,2017-03-03,56.7
1024,2017-03-06,56.78
1025,2017-03-07,56.58
1026,2017-03-08,56.15
1027,2017-03-09,55.75
1028,2017-03-10,55.39
1029,2017-03-13,54.57
1030,2017-03-14,54.62
1031,2017-03-15,54.39
1032,2017-03-16,54.85
1033,2017-03-17,55.04
1034,2017-03-20,55.87
1035,2017-03-21,56.05
1036,2017-03-22,55.68
1037,2017-03-23,56.15
1038,2017-03-24,56.11
1039,2017-03-27,56.66
1040,2017-03-28,57.1
1041,2017-03-29,57.17
1042,2017-03-30,57.45
1043,2017-03-31,58.105
1044,2017-04-03,58.28
1045,2017-04-04,58.37
1046,2017-04-05,57.96
1047,2017-04-06,58.13
1048,2017-04-07,57.8
1049,2017-04-10,58.0
1050,2017-04-11,57.74
1051,2017-04-12,57.88
1052,2017-04-13,57.61
1053,2017-04-17,57.68
1054,2017-04-18,57.59
1055,2017-04-19,58.6
1056,2017-04-20,59.71
1057,2017-04-21,60.2
1058,2017-04-24,61.0
1059,2017-04-25,60.65
1060,2017-04-26,61.23
1061,2017-04-27,61.63
1062,2017-04-28,59.41
1063,2017-05-01,60.0
1064,2017-05-02,60.15
1065,2017-05-03,60.52
1066,2017-05-04,60.65
1067,2017-05-05,60.86
